"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","14,700.0","14,900.0","15,100.0","14,600.0","73.20K","-1.34%"
"04/05/2020","14,900.0","15,800.0","15,800.0","14,700.0","94.45K","-4.49%"
"29/04/2020","15,600.0","14,400.0","15,600.0","14,100.0","386.44K","8.33%"
"28/04/2020","14,400.0","15,100.0","15,100.0","13,900.0","390.49K","-4.64%"
"27/04/2020","15,100.0","16,100.0","16,100.0","15,100.0","328.21K","-3.82%"
"24/04/2020","15,700.0","16,000.0","16,200.0","15,700.0","93.83K","-1.26%"
"23/04/2020","15,900.0","15,300.0","16,500.0","15,300.0","328.83K","1.27%"
"22/04/2020","15,700.0","15,100.0","16,000.0","14,100.0","333.20K","2.61%"
"21/04/2020","15,300.0","16,400.0","16,500.0","15,000.0","506.94K","-7.27%"
"20/04/2020","16,500.0","16,500.0","16,800.0","16,000.0","300.64K","1.23%"
"17/04/2020","16,300.0","16,000.0","16,600.0","16,000.0","284.98K","1.88%"
"16/04/2020","16,000.0","16,400.0","16,400.0","15,900.0","145.59K","0.00%"
"15/04/2020","16,000.0","15,600.0","17,200.0","15,200.0","498.30K","1.91%"
"14/04/2020","15,700.0","16,300.0","16,700.0","15,500.0","269.14K","-4.27%"
"13/04/2020","16,400.0","16,900.0","17,300.0","16,300.0","253.14K","-1.80%"
"10/04/2020","16,700.0","15,800.0","17,000.0","15,800.0","458.63K","5.70%"
"09/04/2020","15,800.0","15,200.0","15,800.0","15,200.0","370.05K","1.94%"
"08/04/2020","15,500.0","15,700.0","16,300.0","15,200.0","146.53K","-1.27%"
"07/04/2020","15,700.0","14,700.0","15,800.0","14,000.0","303.43K","9.03%"
"06/04/2020","14,400.0","14,700.0","15,000.0","13,900.0","347.07K","1.41%"
"03/04/2020","14,200.0","14,500.0","15,500.0","13,700.0","460.93K","-2.07%"
"01/04/2020","14,500.0","15,700.0","16,700.0","14,500.0","196.35K","-7.64%"
"31/03/2020","15,700.0","15,500.0","17,000.0","14,500.0","273.24K","1.29%"
"30/03/2020","15,500.0","14,400.0","15,700.0","13,400.0","183.29K","6.90%"
"27/03/2020","14,500.0","16,100.0","16,300.0","14,500.0","1.09M","-9.94%"
"26/03/2020","16,100.0","16,900.0","17,800.0","16,000.0","430.05K","-6.40%"
"25/03/2020","17,200.0","18,800.0","18,800.0","17,200.0","240.52K","-8.02%"
"24/03/2020","18,700.0","18,300.0","19,500.0","18,300.0","285.68K","3.31%"
"23/03/2020","18,100.0","16,800.0","18,100.0","16,500.0","614.62K","9.70%"
"20/03/2020","16,500.0","15,600.0","16,500.0","15,600.0","191.37K","5.77%"
"19/03/2020","15,600.0","14,500.0","16,200.0","14,100.0","332.13K","1.96%"
"18/03/2020","15,300.0","16,300.0","16,400.0","14,800.0","193.85K","2.00%"
"17/03/2020","15,000.0","14,600.0","15,000.0","13,700.0","195.50K","9.49%"
"16/03/2020","13,700.0","12,400.0","13,700.0","12,300.0","457.93K","9.60%"
"13/03/2020","12,500.0","12,500.0","13,000.0","12,500.0","741.87K","-9.42%"
"12/03/2020","13,800.0","14,000.0","14,800.0","13,800.0","759.26K","-9.80%"
"11/03/2020","15,300.0","16,000.0","16,800.0","14,000.0","284.88K","0.00%"
"10/03/2020","15,300.0","14,400.0","15,900.0","14,400.0","821.25K","-3.77%"
"09/03/2020","15,900.0","16,300.0","16,300.0","15,900.0","322.50K","-9.66%"
"06/03/2020","17,600.0","17,000.0","18,000.0","15,800.0","572.78K","2.92%"
"05/03/2020","17,100.0","18,600.0","19,200.0","15,900.0","534.50K","-2.84%"
"04/03/2020","17,600.0","16,300.0","17,600.0","15,500.0","337.81K","10.00%"
"03/03/2020","16,000.0","14,500.0","17,600.0","14,400.0","659.26K","0.00%"
"02/03/2020","16,000.0","16,000.0","16,200.0","16,000.0","467.41K","-9.60%"
"28/02/2020","17,700.0","19,600.0","20,600.0","17,700.0","618.33K","-9.69%"
"27/02/2020","19,600.0","20,000.0","20,000.0","16,900.0","569.84K","7.10%"
"26/02/2020","18,300.0","18,300.0","18,300.0","17,900.0","857.29K","9.58%"
"25/02/2020","16,700.0","16,700.0","16,700.0","15,500.0","272.60K","9.87%"
"24/02/2020","15,200.0","13,900.0","15,200.0","13,500.0","779.55K","9.35%"
"21/02/2020","13,900.0","14,200.0","14,300.0","13,000.0","375.68K","-2.80%"
"20/02/2020","14,300.0","14,800.0","15,100.0","12,600.0","958.01K","3.62%"
"19/02/2020","13,800.0","13,500.0","13,800.0","13,200.0","393.11K","9.52%"
"18/02/2020","12,600.0","12,500.0","12,600.0","12,200.0","459.00K","9.57%"
"17/02/2020","11,500.0","11,000.0","11,500.0","11,000.0","32.50K","9.52%"
"14/02/2020","10,500.0","9,400.0","10,500.0","9,400.0","334.11K","9.38%"
"13/02/2020","9,600.0","9,800.0","10,100.0","9,000.0","551.22K","-2.04%"
"12/02/2020","9,800.0","9,900.0","10,200.0","9,500.0","820.52K","0.00%"
"11/02/2020","9,800.0","10,000.0","10,600.0","9,700.0","678.54K","-2.00%"
"10/02/2020","10,000.0","10,100.0","10,800.0","9,200.0","814.40K","-0.99%"
"07/02/2020","10,100.0","9,200.0","10,100.0","9,200.0","655.36K","9.78%"
"06/02/2020","9,200.0","8,400.0","9,200.0","8,400.0","403.25K","9.52%"
"05/02/2020","8,400.0","7,700.0","8,400.0","7,600.0","413.29K","9.09%"
"04/02/2020","7,700.0","7,800.0","8,000.0","7,600.0","108.45K","-2.53%"
"03/02/2020","7,900.0","8,100.0","8,100.0","7,400.0","458.76K","-3.66%"
"31/01/2020","8,200.0","8,700.0","8,900.0","8,000.0","378.95K","-6.82%"
"30/01/2020","8,800.0","8,600.0","9,000.0","7,900.0","357.86K","1.15%"
"22/01/2020","8,700.0","9,100.0","9,500.0","8,700.0","489.75K","-4.40%"
"21/01/2020","9,100.0","8,500.0","9,200.0","8,500.0","703.99K","8.33%"
"20/01/2020","8,400.0","8,000.0","8,800.0","8,000.0","620.03K","5.00%"
"17/01/2020","8,000.0","7,400.0","8,100.0","7,400.0","280.52K","6.67%"
"16/01/2020","7,500.0","7,300.0","7,500.0","7,100.0","65.30K","1.35%"
"15/01/2020","7,400.0","7,200.0","7,900.0","6,800.0","373.10K","2.78%"
"14/01/2020","7,200.0","7,300.0","7,400.0","6,900.0","119.90K","-1.37%"
"13/01/2020","7,300.0","8,000.0","8,100.0","6,900.0","326.70K","-2.67%"
"10/01/2020","7,500.0","7,300.0","7,500.0","7,300.0","261.53K","8.70%"
"09/01/2020","6,900.0","6,200.0","6,900.0","6,200.0","249.04K","9.52%"
"08/01/2020","6,300.0","6,400.0","6,500.0","6,300.0","97.91K","-1.56%"
"07/01/2020","6,400.0","5,900.0","6,400.0","5,800.0","188.60K","4.92%"
"06/01/2020","6,100.0","6,000.0","6,200.0","5,800.0","101.30K","0.00%"
"03/01/2020","6,100.0","6,100.0","6,100.0","5,800.0","39.70K","0.00%"
"02/01/2020","6,100.0","6,100.0","6,300.0","5,900.0","77.20K","-1.61%"
"31/12/2019","6,200.0","6,200.0","6,400.0","6,100.0","81.50K","0.00%"
"30/12/2019","6,200.0","5,800.0","6,300.0","5,800.0","131.60K","5.08%"
"27/12/2019","5,900.0","6,100.0","6,100.0","5,700.0","46.00K","0.00%"
"26/12/2019","5,900.0","5,400.0","5,900.0","5,400.0","86.04K","9.26%"
"25/12/2019","5,400.0","5,900.0","6,100.0","5,400.0","298.11K","-8.47%"
"24/12/2019","5,900.0","6,500.0","6,500.0","5,900.0","288.20K","-9.23%"
"23/12/2019","6,500.0","6,400.0","6,500.0","6,300.0","97.50K","0.00%"
"20/12/2019","6,500.0","6,500.0","6,600.0","6,400.0","55.30K","-2.99%"
"19/12/2019","6,700.0","6,700.0","6,700.0","6,500.0","39.31K","-1.47%"
"18/12/2019","6,800.0","6,700.0","6,800.0","6,600.0","27.80K","1.49%"
"17/12/2019","6,700.0","6,600.0","6,800.0","6,500.0","32.71K","1.52%"
"16/12/2019","6,600.0","6,600.0","6,800.0","6,600.0","97.52K","-2.94%"
"13/12/2019","6,800.0","7,100.0","7,100.0","6,500.0","404.20K","-5.56%"
"12/12/2019","7,200.0","7,100.0","7,200.0","7,100.0","65.00K","0.00%"
"11/12/2019","7,200.0","7,100.0","7,300.0","7,100.0","128.20K","0.00%"
"10/12/2019","7,200.0","7,100.0","7,300.0","7,000.0","181.25K","0.00%"
"09/12/2019","7,200.0","7,000.0","7,200.0","6,900.0","127.61K","1.41%"
"06/12/2019","7,100.0","7,000.0","7,200.0","6,900.0","141.90K","0.00%"
"05/12/2019","7,100.0","6,800.0","7,100.0","6,700.0","145.50K","4.41%"
"04/12/2019","6,800.0","6,600.0","6,900.0","6,600.0","35.60K","1.49%"
"03/12/2019","6,700.0","6,600.0","6,700.0","6,400.0","56.20K","0.00%"
"02/12/2019","6,700.0","6,700.0","6,700.0","6,200.0","219.41K","0.00%"
"29/11/2019","6,700.0","7,000.0","7,000.0","6,600.0","168.60K","-5.63%"
"28/11/2019","7,100.0","7,200.0","7,300.0","7,000.0","169.02K","-2.74%"
"27/11/2019","7,300.0","7,300.0","7,500.0","7,200.0","119.10K","0.00%"
"26/11/2019","7,300.0","7,400.0","7,600.0","7,100.0","178.81K","0.00%"
"25/11/2019","7,300.0","7,000.0","7,400.0","7,000.0","265.90K","1.39%"
"22/11/2019","7,200.0","7,200.0","7,300.0","7,000.0","166.30K","-1.37%"
"21/11/2019","7,300.0","7,300.0","7,400.0","7,100.0","116.70K","-1.35%"
"20/11/2019","7,400.0","7,000.0","7,400.0","7,000.0","119.74K","4.23%"
"19/11/2019","7,100.0","6,700.0","7,200.0","6,700.0","126.90K","4.41%"
"18/11/2019","6,800.0","6,700.0","6,900.0","6,700.0","89.50K","1.49%"
"15/11/2019","6,700.0","7,200.0","7,400.0","6,700.0","264.40K","-6.94%"
"14/11/2019","7,200.0","7,300.0","7,700.0","7,200.0","208.70K","-6.49%"
"13/11/2019","7,700.0","7,400.0","7,800.0","7,300.0","320.14K","2.67%"
"12/11/2019","7,500.0","6,900.0","7,500.0","6,900.0","328.35K","8.70%"
"11/11/2019","6,900.0","7,200.0","7,300.0","6,900.0","151.40K","-2.82%"
"08/11/2019","7,100.0","6,900.0","7,100.0","6,900.0","135.70K","1.43%"
"07/11/2019","7,000.0","7,200.0","7,300.0","6,900.0","223.61K","-2.78%"
"06/11/2019","7,200.0","6,700.0","7,300.0","6,700.0","221.00K","4.35%"
"05/11/2019","6,900.0","6,400.0","7,000.0","6,300.0","174.90K","6.15%"
"04/11/2019","6,500.0","6,500.0","6,700.0","6,100.0","211.68K","0.00%"
"01/11/2019","6,500.0","6,800.0","7,300.0","6,300.0","501.55K","-7.14%"
"31/10/2019","7,000.0","7,000.0","7,600.0","6,500.0","390.37K","0.00%"
"30/10/2019","7,000.0","7,700.0","7,800.0","7,000.0","617.20K","-9.09%"
"29/10/2019","7,700.0","7,900.0","8,000.0","7,700.0","170.40K","-4.94%"
"28/10/2019","8,100.0","7,800.0","8,500.0","7,400.0","325.33K","3.85%"
"25/10/2019","7,800.0","7,500.0","7,900.0","7,500.0","177.10K","-1.27%"
"24/10/2019","7,900.0","7,900.0","8,000.0","7,700.0","120.61K","-1.25%"
"23/10/2019","8,000.0","8,500.0","8,500.0","7,700.0","234.31K","1.27%"
"22/10/2019","7,900.0","7,100.0","7,900.0","6,900.0","990.65K","9.72%"
"21/10/2019","7,200.0","7,200.0","7,200.0","6,800.0","127.60K","0.00%"
"18/10/2019","7,200.0","7,200.0","7,300.0","6,900.0","245.40K","1.41%"
"17/10/2019","7,100.0","6,500.0","7,300.0","6,500.0","296.60K","5.97%"
"16/10/2019","6,700.0","6,700.0","6,900.0","6,300.0","220.32K","0.00%"
"15/10/2019","6,700.0","7,400.0","7,400.0","6,700.0","722.02K","-9.46%"
"14/10/2019","7,400.0","7,200.0","7,500.0","7,000.0","485.66K","2.78%"
"11/10/2019","7,200.0","6,900.0","7,500.0","6,900.0","485.36K","4.35%"
"10/10/2019","6,900.0","6,200.0","6,900.0","6,200.0","536.64K","9.52%"
"09/10/2019","6,300.0","6,400.0","6,700.0","6,100.0","235.80K","-3.08%"
"08/10/2019","6,500.0","5,800.0","6,700.0","5,800.0","1.16M","6.56%"
"07/10/2019","6,100.0","5,600.0","6,100.0","5,600.0","445.61K","8.93%"
"04/10/2019","5,600.0","5,500.0","5,700.0","5,300.0","317.90K","0.00%"
"03/10/2019","5,600.0","6,200.0","6,200.0","5,600.0","365.30K","-9.68%"
"02/10/2019","6,200.0","6,400.0","6,400.0","5,900.0","402.94K","5.08%"
"01/10/2019","5,900.0","5,500.0","5,900.0","5,400.0","683.07K","9.26%"
"30/09/2019","5,400.0","5,300.0","5,800.0","5,200.0","250.41K","1.89%"
"27/09/2019","5,300.0","5,100.0","5,500.0","4,900.0","177.02K","0.00%"
"26/09/2019","5,300.0","5,800.0","5,800.0","5,200.0","319.43K","0.00%"
"25/09/2019","5,300.0","5,200.0","5,300.0","5,100.0","73.60K","8.16%"
"24/09/2019","4,900.0","4,600.0","4,900.0","4,600.0","207.08K","8.89%"
"23/09/2019","4,500.0","4,500.0","4,600.0","4,400.0","65.10K","0.00%"
"20/09/2019","4,500.0","4,500.0","4,600.0","4,300.0","146.60K","0.00%"
"19/09/2019","4,500.0","4,500.0","4,700.0","4,400.0","121.95K","-4.26%"
"18/09/2019","4,700.0","4,200.0","4,900.0","4,200.0","128.33K","4.44%"
"17/09/2019","4,500.0","4,600.0","4,800.0","4,500.0","472.74K","-8.16%"
"16/09/2019","4,900.0","5,400.0","5,400.0","4,900.0","570.60K","-9.26%"
"13/09/2019","5,400.0","5,600.0","5,700.0","5,100.0","147.61K","-3.57%"
"12/09/2019","5,600.0","5,300.0","5,600.0","4,900.0","205.10K","9.80%"
"11/09/2019","5,100.0","5,500.0","5,500.0","5,000.0","367.21K","-7.27%"
"10/09/2019","5,500.0","6,500.0","6,500.0","5,500.0","298.71K","-8.33%"
"09/09/2019","6,000.0","5,900.0","6,000.0","5,900.0","307.30K","9.09%"
"06/09/2019","5,500.0","5,400.0","6,200.0","5,400.0","451.23K","-6.78%"
"05/09/2019","5,900.0","6,500.0","6,500.0","5,900.0","259.59K","-9.23%"
"04/09/2019","6,500.0","7,500.0","7,500.0","6,500.0","369.10K","-9.72%"
"03/09/2019","7,200.0","6,500.0","7,200.0","6,500.0","491.10K","9.09%"
"30/08/2019","6,600.0","7,600.0","7,800.0","6,600.0","603.27K","-9.59%"
"29/08/2019","7,300.0","6,800.0","7,400.0","6,300.0","571.90K","7.35%"
"28/08/2019","6,800.0","6,800.0","6,900.0","6,400.0","1.41M","7.94%"
"27/08/2019","6,300.0","6,300.0","6,300.0","6,000.0","557.80K","8.62%"
"26/08/2019","5,800.0","5,300.0","5,800.0","4,800.0","718.60K","9.43%"
"23/08/2019","5,300.0","5,600.0","5,700.0","5,200.0","324.41K","1.92%"
"22/08/2019","5,200.0","5,100.0","5,200.0","4,800.0","570.70K","8.33%"
"21/08/2019","4,800.0","4,800.0","4,800.0","4,700.0","608.70K","9.09%"
"20/08/2019","4,400.0","4,400.0","4,400.0","4,200.0","657.20K","10.00%"
"19/08/2019","4,000.0","3,800.0","4,000.0","3,800.0","424.63K","8.11%"
"16/08/2019","3,700.0","3,700.0","3,700.0","3,700.0","14.30K","0.00%"
"15/08/2019","3,700.0","3,600.0","3,700.0","3,600.0","41.40K","0.00%"
"14/08/2019","3,700.0","3,700.0","3,700.0","3,600.0","60.90K","-2.63%"
"13/08/2019","3,800.0","3,700.0","3,800.0","3,700.0","81.40K","5.56%"
"12/08/2019","3,600.0","3,800.0","3,800.0","3,600.0","78.00K","-5.26%"
"09/08/2019","3,800.0","3,800.0","3,800.0","3,600.0","82.40K","0.00%"
"08/08/2019","3,800.0","3,800.0","3,900.0","3,700.0","115.50K","0.00%"
"07/08/2019","3,800.0","4,000.0","4,200.0","3,700.0","376.20K","-2.56%"
"06/08/2019","3,900.0","3,500.0","3,900.0","3,500.0","249.90K","8.33%"
"05/08/2019","3,600.0","3,600.0","3,600.0","3,600.0","1.50K","2.86%"
"02/08/2019","3,500.0","3,500.0","3,500.0","3,500.0","14.90K","0.00%"
"01/08/2019","3,500.0","3,500.0","3,500.0","3,500.0","9.70K","2.94%"
"31/07/2019","3,400.0","3,500.0","3,500.0","3,400.0","33.20K","-2.86%"
"30/07/2019","3,500.0","3,500.0","3,500.0","3,500.0","54.00K","0.00%"
"29/07/2019","3,500.0","3,600.0","3,600.0","3,500.0","44.10K","0.00%"
"26/07/2019","3,500.0","3,500.0","3,500.0","3,400.0","16.10K","0.00%"
"25/07/2019","3,500.0","3,400.0","3,500.0","3,400.0","3.40K","0.00%"
"24/07/2019","3,500.0","3,500.0","3,500.0","3,400.0","17.30K","0.00%"
"23/07/2019","3,500.0","3,600.0","3,600.0","3,500.0","15.00K","-2.78%"
"22/07/2019","3,600.0","3,400.0","3,600.0","3,400.0","16.40K","2.86%"
"19/07/2019","3,500.0","3,500.0","3,600.0","3,500.0","12.50K","0.00%"
"18/07/2019","3,500.0","3,500.0","3,600.0","3,400.0","85.90K","0.00%"
"17/07/2019","3,500.0","3,400.0","3,500.0","3,400.0","16.90K","0.00%"
"16/07/2019","3,500.0","3,300.0","3,500.0","3,300.0","11.30K","0.00%"
"12/07/2019","3,500.0","3,500.0","3,600.0","3,500.0","21.40K","0.00%"
"11/07/2019","3,500.0","3,500.0","3,500.0","3,500.0","31.80K","0.00%"
"10/07/2019","3,500.0","3,500.0","3,500.0","3,500.0","54.10K","0.00%"
"09/07/2019","3,500.0","3,500.0","3,500.0","3,500.0","34.10K","0.00%"
"08/07/2019","3,500.0","3,500.0","3,500.0","3,500.0","20.00K","0.00%"
"05/07/2019","3,500.0","3,500.0","3,500.0","3,500.0","24.30K","0.00%"
"04/07/2019","3,500.0","3,500.0","3,500.0","3,500.0","10.10K","0.00%"
"03/07/2019","3,500.0","3,500.0","3,500.0","3,500.0","35.50K","0.00%"
"02/07/2019","3,500.0","3,500.0","3,500.0","3,500.0","10.40K","-2.78%"
"01/07/2019","3,600.0","3,600.0","3,600.0","3,500.0","63.20K","2.86%"
"28/06/2019","3,500.0","3,500.0","3,500.0","3,500.0","40.00K","0.00%"
"27/06/2019","3,500.0","3,500.0","3,500.0","3,500.0","14.00K","0.00%"
"26/06/2019","3,500.0","3,500.0","3,500.0","3,500.0","6.61K","-2.78%"
"25/06/2019","3,600.0","3,500.0","3,600.0","3,500.0","30.10K","2.86%"
"24/06/2019","3,500.0","3,600.0","3,600.0","3,500.0","8.30K","0.00%"
"21/06/2019","3,500.0","3,500.0","3,500.0","3,500.0","34.00K","0.00%"
"20/06/2019","3,500.0","3,500.0","3,500.0","3,500.0","22.80K","-2.78%"
"19/06/2019","3,600.0","3,600.0","3,600.0","3,600.0","4.00K","0.00%"
"18/06/2019","3,600.0","3,500.0","3,600.0","3,500.0","53.60K","2.86%"
"17/06/2019","3,500.0","3,500.0","3,600.0","3,500.0","13.20K","0.00%"
"14/06/2019","3,500.0","3,500.0","3,500.0","3,500.0","6.50K","0.00%"
"13/06/2019","3,500.0","3,500.0","3,500.0","3,500.0","6.80K","0.00%"
"12/06/2019","3,500.0","3,400.0","3,500.0","3,400.0","21.00K","0.00%"
"11/06/2019","3,500.0","3,500.0","3,600.0","3,500.0","18.00K","-5.41%"
"10/06/2019","3,700.0","3,500.0","3,700.0","3,500.0","9.30K","2.78%"
"07/06/2019","3,600.0","3,500.0","3,600.0","3,400.0","32.80K","2.86%"
"06/06/2019","3,500.0","3,600.0","3,600.0","3,500.0","13.50K","-2.78%"
"05/06/2019","3,600.0","3,600.0","3,600.0","3,600.0","25.90K","0.00%"
"04/06/2019","3,600.0","3,600.0","3,700.0","3,500.0","185.10K","0.00%"
"03/06/2019","3,600.0","3,600.0","3,600.0","3,600.0","102.00K","0.00%"
"31/05/2019","3,600.0","3,600.0","3,600.0","3,600.0","21.80K","0.00%"
"30/05/2019","3,600.0","3,600.0","3,600.0","3,600.0","60.00K","0.00%"
"29/05/2019","3,600.0","3,600.0","3,600.0","3,600.0","41.90K","0.00%"
"28/05/2019","3,600.0","3,600.0","3,600.0","3,600.0","10.00K","0.00%"
"27/05/2019","3,600.0","3,600.0","3,600.0","3,600.0","12.80K","0.00%"
"24/05/2019","3,600.0","3,600.0","3,600.0","3,600.0","4.10K","0.00%"
"23/05/2019","3,600.0","3,600.0","3,600.0","3,600.0","3.40K","-2.70%"
"22/05/2019","3,700.0","3,700.0","3,700.0","3,600.0","4.20K","0.00%"
"21/05/2019","3,700.0","3,700.0","3,700.0","3,600.0","87.40K","2.78%"
"20/05/2019","3,600.0","3,700.0","3,800.0","3,600.0","85.90K","-2.70%"
"17/05/2019","3,700.0","3,700.0","3,700.0","3,700.0","136.10K","0.00%"
"16/05/2019","3,700.0","3,700.0","3,900.0","3,700.0","375.80K","-2.63%"
"15/05/2019","3,800.0","3,600.0","3,800.0","3,600.0","15.70K","5.56%"
"14/05/2019","3,600.0","3,700.0","3,900.0","3,600.0","154.00K","-2.70%"
"13/05/2019","3,700.0","3,700.0","3,800.0","3,600.0","195.30K","0.00%"
"10/05/2019","3,700.0","3,700.0","3,800.0","3,700.0","12.40K","0.00%"
"09/05/2019","3,700.0","3,700.0","3,800.0","3,700.0","18.80K","0.00%"
"08/05/2019","3,700.0","3,800.0","3,800.0","3,600.0","89.40K","-2.63%"
"07/05/2019","3,800.0","3,600.0","3,800.0","3,500.0","109.10K","8.57%"
"06/05/2019","3,500.0","3,400.0","3,500.0","3,400.0","44.10K","0.00%"
"03/05/2019","3,500.0","3,400.0","3,500.0","3,400.0","32.20K","2.94%"
"02/05/2019","3,400.0","3,400.0","3,400.0","3,400.0","4.60K","0.00%"
"26/04/2019","3,400.0","3,400.0","3,400.0","3,400.0","6.00K","0.00%"
"25/04/2019","3,400.0","3,400.0","3,400.0","3,400.0","65.40K","0.00%"
"24/04/2019","3,400.0","3,400.0","3,400.0","3,400.0","15.40K","0.00%"
"23/04/2019","3,400.0","3,400.0","3,500.0","3,400.0","24.10K","3.03%"
"22/04/2019","3,300.0","3,400.0","3,400.0","3,300.0","13.10K","-2.94%"
"19/04/2019","3,400.0","3,300.0","3,400.0","3,300.0","12.50K","3.03%"
"18/04/2019","3,300.0","3,300.0","3,300.0","3,300.0","1.00K","0.00%"
"17/04/2019","3,300.0","3,400.0","3,400.0","3,200.0","16.40K","-2.94%"
"12/04/2019","3,400.0","3,300.0","3,400.0","3,300.0","26.60K","3.03%"
"11/04/2019","3,300.0","3,200.0","3,300.0","3,200.0","19.00K","-2.94%"
"10/04/2019","3,400.0","3,200.0","3,400.0","3,200.0","42.40K","6.25%"
"09/04/2019","3,200.0","3,300.0","3,400.0","3,100.0","92.90K","-3.03%"
"08/04/2019","3,300.0","3,300.0","3,400.0","3,200.0","30.10K","-2.94%"
"05/04/2019","3,400.0","3,500.0","3,500.0","3,300.0","34.50K","-5.56%"
"04/04/2019","3,600.0","3,600.0","3,800.0","3,500.0","172.00K","2.86%"
"03/04/2019","3,500.0","3,200.0","3,500.0","3,200.0","256.50K","9.38%"
"02/04/2019","3,200.0","3,200.0","3,200.0","3,200.0","10.30K","3.23%"
"01/04/2019","3,100.0","3,100.0","3,200.0","3,100.0","20.30K","0.00%"
"29/03/2019","3,100.0","3,100.0","3,300.0","3,100.0","17.20K","0.00%"
"28/03/2019","3,100.0","3,100.0","3,100.0","3,100.0","15.00K","0.00%"
"27/03/2019","3,100.0","3,100.0","3,100.0","3,100.0","14.00K","0.00%"
"26/03/2019","3,100.0","3,100.0","3,100.0","3,000.0","3.10K","-3.13%"
"25/03/2019","3,200.0","3,000.0","3,200.0","3,000.0","21.70K","6.67%"
"22/03/2019","3,000.0","3,000.0","3,000.0","3,000.0","46.00K","0.00%"
"21/03/2019","3,000.0","2,900.0","3,000.0","2,900.0","17.00K","0.00%"
"20/03/2019","3,000.0","3,000.0","3,100.0","3,000.0","24.90K","0.00%"
"19/03/2019","3,000.0","3,000.0","3,000.0","3,000.0","4.50K","0.00%"
"18/03/2019","3,000.0","3,000.0","3,000.0","3,000.0","13.00K","3.45%"
"15/03/2019","2,900.0","3,100.0","3,100.0","2,900.0","10.50K","-3.33%"
"14/03/2019","3,000.0","3,100.0","3,100.0","3,000.0","6.70K","0.00%"
"13/03/2019","3,000.0","3,000.0","3,000.0","2,900.0","13.40K","-6.25%"
"12/03/2019","3,200.0","3,100.0","3,200.0","3,100.0","37.90K","6.67%"
"11/03/2019","3,000.0","3,000.0","3,000.0","2,900.0","3.80K","3.45%"
"08/03/2019","2,900.0","3,000.0","3,000.0","2,900.0","7.70K","-3.33%"
"07/03/2019","3,000.0","2,900.0","3,000.0","2,900.0","15.20K","3.45%"
"06/03/2019","2,900.0","2,800.0","2,900.0","2,700.0","11.80K","3.57%"
"05/03/2019","2,800.0","2,800.0","2,800.0","2,800.0","25.10K","0.00%"
"04/03/2019","2,800.0","2,700.0","2,800.0","2,600.0","18.40K","0.00%"
"01/03/2019","2,800.0","2,800.0","2,800.0","2,800.0","4.00K","0.00%"
"28/02/2019","2,800.0","2,800.0","2,800.0","2,800.0","0.10K","3.70%"
"27/02/2019","2,700.0","2,800.0","2,800.0","2,700.0","2.00K","0.00%"
"26/02/2019","2,700.0","2,800.0","2,800.0","2,700.0","29.70K","-3.57%"
"25/02/2019","2,800.0","2,700.0","2,800.0","2,700.0","10.40K","0.00%"
"21/02/2019","2,800.0","2,800.0","2,800.0","2,800.0","13.10K","0.00%"
"20/02/2019","2,800.0","2,800.0","2,800.0","2,700.0","21.00K","-3.45%"
"19/02/2019","2,900.0","2,900.0","2,900.0","2,900.0","4.20K","-3.33%"
"18/02/2019","3,000.0","3,000.0","3,000.0","3,000.0","2.91K","0.00%"
"15/02/2019","3,000.0","3,000.0","3,000.0","3,000.0","0.60K","0.00%"
"14/02/2019","3,000.0","3,000.0","3,000.0","3,000.0","13.80K","0.00%"
"13/02/2019","3,000.0","2,900.0","3,000.0","2,900.0","11.00K","0.00%"
"12/02/2019","3,000.0","3,000.0","3,100.0","3,000.0","28.80K","-3.23%"
"11/02/2019","3,100.0","3,000.0","3,100.0","3,000.0","5.30K","-3.13%"
"01/02/2019","3,200.0","3,200.0","3,200.0","3,200.0","0.10K","6.67%"
"31/01/2019","3,000.0","3,000.0","3,000.0","3,000.0","56.90K","0.00%"
"30/01/2019","3,000.0","3,200.0","3,200.0","3,000.0","14.50K","-9.09%"
"29/01/2019","3,300.0","3,300.0","3,300.0","3,300.0","0.50K","3.13%"
"28/01/2019","3,200.0","3,200.0","3,400.0","3,200.0","20.10K","-8.57%"
"25/01/2019","3,500.0","3,700.0","3,700.0","3,500.0","12.50K","-5.41%"
"24/01/2019","3,700.0","3,700.0","3,700.0","3,600.0","8.20K","0.00%"
"23/01/2019","3,700.0","3,700.0","3,700.0","3,500.0","80.80K","8.82%"
"22/01/2019","3,400.0","3,200.0","3,400.0","3,200.0","95.61K","9.68%"
"21/01/2019","3,100.0","2,900.0","3,100.0","2,900.0","20.20K","-3.13%"
"18/01/2019","3,200.0","3,100.0","3,200.0","3,100.0","13.20K","0.00%"
"17/01/2019","3,200.0","3,000.0","3,200.0","3,000.0","44.20K","3.23%"
"16/01/2019","3,100.0","3,000.0","3,100.0","3,000.0","5.90K","3.33%"
"15/01/2019","3,000.0","3,000.0","3,000.0","3,000.0","10.00K","0.00%"
"14/01/2019","3,000.0","2,900.0","3,000.0","2,800.0","17.50K","0.00%"
"11/01/2019","3,000.0","3,000.0","3,000.0","3,000.0","6.00K","0.00%"
"10/01/2019","3,000.0","3,000.0","3,000.0","3,000.0","7.01K","0.00%"
